Good Stuff from Carotte	Spitz-Baguette crude.JPG	#ceb25f	#A58E4C	<a href="https://commons.wikimedia.org/wiki/User:RudolfSimon">RudolfSimon</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Pulled pork	55 kr, hel 80 kr			
		Rödlök	Picklad		
		Hoisindressing			
		Softbun			
	BBQ kyckling	55 kr, hel 80 kr			
		Kyckling	BBQ		
		BBQ sås			
		Coleslaw			
		Lök	Friterad		
		Baguette			
	Halloumi	55 kr, hel 80 kr	Grillad		
		Citron	Picklad		
		Baba ganoush			
Adam & Albin Matstudio	Bami_mu_daeng_kiao.JPG	#066498	#05507A	<a href="https://commons.wikimedia.org/wiki/User:Takeaway">Takeaway</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Ramen på kyckling	55 kr			
		Ramen			
		Kyckling			
		Buljong	Kyckling		
		Salsa	Ingefära		
		Vårlök			
		Koriander			
		Solroskärnor			
		Nudlar	Vete		
	Friterade fläsksvålar	35 kr			
		Fläsksvålar	Friterade		
		Majonnäs	Soja		
Babas Burgers & Bite~	Hal's Hamburgers in Pendleton, Oregon.jpg	#484a70	#3A3B5A	<a href="https://commons.wikimedia.org/w/index.php?title=User:Visitor7&action=edit&redlink=1">Visitor7</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
Sjömagasinet Gästkrog~	Ingen	ingen	ingen	ingen	ingen
Farang	Street Dining Lesehan in Kebayoran Baru, Jakarta.jpg	#85271b	#6A1F16	<a href="https://www.flickr.com/people/21558311@N04">tania_huiny</a>	<a href="https://creativecommons.org/licenses/by/2.0/deed.sv" rel="license">CC&nbsp;BY&nbsp;2.0</a>
	Rischips med räkor	55 kr			
		Rischips			
		Räkor			
		Sylt	Chili		
		Citrongräs			
		Böngroddar			
	Gris i kokoscurry	75 kr			
		Gris			
		Curry	Kokos		
		Fläsklägg	Långkokt		
		Färs			
		Limeblad			
		Thaibasilika			
	Phanangan Bounty	35 kr			
		Choklad	Kristalliserad		
		Kokos			
		Kokos	Rostad		
		Glass	Kokos		
Boston Grill	Harbour Skyline Boston MA USA.jpg	#3c71a7	#305A86	<a href="https://commons.wikimedia.org/wiki/User:Grossbildjaeger">Grossbildjaeger</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Blackened Tuna med sweet potato pine crus	35 kr			
		Tonfisk	Blackened		
		Sötpotatispaj			
		Glaze	Aprikos		
	Pommes med tryffelaioli	35 kr			
		Pommes			
		Aioli	Tryffel		
