Sötpotatispaj	Q3246340
Soya	Q229385
Spädgris	Q787
Sparris	Q28367
Spenat	Q81464
Strömming	Q2396858
Stuvning	Q2920963
Surdegsbröd	Q904889
Surkål	Q154166
Sverige	Q34
Sylt	Q8752059
Syrad	Q1503967
Taco	Q191655
Tahini	Q383389
Tattinger	Q204901
Terrine	Q11175039
Thaibasilika	Q3073413
Timjan	Q131224
Toast Skagen	Q10699143
Tofu	Q177378
Tomater	Q23501
Tomat	Q23501
Tomatsås	Q3596097
Tonfisk	Q214415
Torsk	Q199788
Tortilla	Q204251
Trädgårdssallad	Q9266
Tryffel	Q2690965
Valnöt	Q46871
Vaniljcrème	Q625825
Vanilj	Q13241
Vårlök	Q120042
Varmrökt	Q193713
Vårrullar	Q715525
Vårrulle	Q715525
Västerhavet	Q10717939
Vegetarisk	Q638022
Vete	Q161098
Vietnamesisk	Q881
Vilt	Q223930
Vit choklad	Q742385
Vitlök	Q23400
Vitlöksbröd	Q1359006
Vitlökscréme	Q23400
Wokade	Q8980672
Wokad	Q8980672
Wonton	Q553905
Yuzu	Q867776
